model,r2_uniform,r2_weighted,mae_mean_pp,rmse_mean_pp,aitchison_mean,r2_tree_cover,r2_grassland,r2_cropland,r2_built_up,r2_bare_sparse,r2_water,mae_tree_cover_pp,mae_grassland_pp,mae_cropland_pp,mae_built_up_pp,mae_bare_sparse_pp,mae_water_pp,pct_valid_sum,pct_valid_range,pct_fully_valid,mean_sum,std_sum,name,fold,stage,feature_set,arch,activation,norm_type,n_layers,d_model,arch_family,lr,n_features,epochs,elapsed_s
model,0.6930575966835022,0.896777331829071,3.906971588730812,7.75485560297966,8.254336251999352,0.9198117852210999,0.8465486168861389,0.8793513178825378,0.924315333366394,-0.23678946495056152,0.8250134587287903,5.316244810819626,5.784846842288971,5.740775913000107,6.004855036735535,0.22878386080265045,0.36635659635066986,100.0,100.0,100.0,1.0,6.941934316273546e-08,bi_glcm_morph_residual_silu_L12_d256_bn,3,v6,bi_glcm_morph,residual,silu,batchnorm,12,256,deep,0.001,1083,725,316.9
model,0.7115724682807922,0.9050816893577576,3.746761381626129,7.431972771883011,8.501149517021776,0.9233371615409851,0.8511680364608765,0.8897846341133118,0.9352186918258667,-0.18292880058288574,0.8527697324752808,5.204161629080772,5.687766894698143,5.465330928564072,5.574840307235718,0.19526099786162376,0.35323791671544313,100.0,100.0,100.0,1.0,6.906278571250368e-08,bi_glcm_morph_residual_silu_L16_d256_bn_lr0.0005,3,v6,bi_glcm_morph,residual,silu,batchnorm,16,256,deep,0.0005,1083,731,394.3
model,0.7290499210357666,0.9022767543792725,3.7991411983966827,7.541697472333908,8.348807488975147,0.9157994985580444,0.8396819233894348,0.8889817595481873,0.9380849003791809,-0.04541909694671631,0.837100625038147,5.369682237505913,5.910850316286087,5.510573461651802,5.442830920219421,0.19835704006254673,0.3625772660598159,100.0,100.0,100.0,1.0,6.912379291179604e-08,bi_glcm_morph_residual_silu_L20_d256_bn_lr0.0005,3,v6,bi_glcm_morph,residual,silu,batchnorm,20,256,deep,0.0005,1083,748,493.4
model,0.5003767609596252,0.8992251753807068,3.7621986120939255,7.721567898988724,8.273014171920684,0.9228898882865906,0.8483736515045166,0.8801363706588745,0.929186224937439,-1.4306590557098389,0.8521210551261902,5.122725293040276,5.672100558876991,5.514099076390266,5.661635100841522,0.2548300428315997,0.3478259779512882,100.0,100.0,100.0,1.0,6.955366416150355e-08,bi_glcm_morph_plain_silu_L5_d2048_bn_lr0.0005,3,v6,bi_glcm_morph,plain,silu,batchnorm,5,2048,wide,0.0005,1083,683,123.4
model,0.6854121685028076,0.8911198377609253,3.9955977350473404,7.938204705715179,8.475065306570782,0.9069110155105591,0.84410560131073,0.8708000183105469,0.9242921471595764,-0.2807201147079468,0.8469840884208679,5.702520906925201,5.7670846581459045,5.915875360369682,5.9849657118320465,0.244803330861032,0.35837083123624325,100.0,100.0,100.0,1.0,7.076808827832792e-08,bi_glcm_morph_residual_silu_L10_d1024_bn_lr0.0005,3,v6,bi_glcm_morph,residual,silu,batchnorm,10,1024,deep+wide,0.0005,1083,726,305.7
model,0.6811075806617737,0.8956844210624695,3.941967338323593,7.811527699232101,8.401933407901629,0.9075642228126526,0.8251900672912598,0.8835702538490295,0.9357408285140991,-0.29069507122039795,0.8251792192459106,5.595439299941063,6.210380792617798,5.6037865579128265,5.629989504814148,0.23515895009040833,0.37703749258071184,100.0,100.0,100.0,1.0,7.027712456419977e-08,bi_glcm_morph_residual_silu_L11_d1024_bn_lr0.0005,3,v6,bi_glcm_morph,residual,silu,batchnorm,11,1024,deep+wide,0.0005,1083,706,324.1
model,0.6130523085594177,0.901283860206604,3.859817609190941,7.617718726396561,8.428584719904455,0.916266143321991,0.8511683344841003,0.8852040767669678,0.9332274198532104,-0.761792778968811,0.8541114926338196,5.521782860159874,5.6341104209423065,5.584107339382172,5.771228671073914,0.30351458117365837,0.344162224791944,100.0,100.0,100.0,1.0,6.841014510428067e-08,bi_glcm_morph_residual_silu_L12_d1024_bn_lr0.0005,3,v6,bi_glcm_morph,residual,silu,batchnorm,12,1024,deep+wide,0.0005,1083,758,375.7
model,0.7537901997566223,0.960901141166687,1.1561387218534946,3.398391604423523,7.2510739692019355,0.9711800813674927,0.861486554145813,0.6448836326599121,0.9727298021316528,0.09748256206512451,0.9749800562858582,2.6556598022580147,1.7312265932559967,0.29116300866007805,1.8721653148531914,0.187044870108366,0.19957355689257383,100.0,100.0,100.0,1.0,7.604665341887085e-08,bi_glcm_morph_plain_silu_L5_d1024_bn,4,v6,bi_glcm_morph,plain,silu,batchnorm,5,1024,wide,0.001,1083,700,85.6
model,0.7326493859291077,0.961834728717804,1.1094916611909866,3.3721312880516052,6.515386901540306,0.9707647562026978,0.8670328855514526,0.7227293252944946,0.9748036861419678,-0.10921370983123779,0.9697796106338501,2.557520940899849,1.6399767249822617,0.2643862506374717,1.8320921808481216,0.18263659439980984,0.1803427585400641,100.0,100.0,100.0,1.0,7.668937485050265e-08,bi_glcm_morph_plain_silu_L5_d512_bn,4,v6,bi_glcm_morph,plain,silu,batchnorm,5,512,v5_champion,0.001,1083,757,101.9
model,0.7216941714286804,0.9588742852210999,1.1068657040596008,3.542226552963257,6.158121853906599,0.9681116938591003,0.8537445664405823,0.7682080864906311,0.9760444164276123,-0.16811180114746094,0.9321696758270264,2.5674810633063316,1.6477590426802635,0.24235458113253117,1.8064089119434357,0.16905140364542603,0.20813483279198408,100.0,100.0,100.0,1.0,7.023457726518245e-08,bi_glcm_morph_residual_silu_L10_d256_nonorm,4,v6,bi_glcm_morph,residual,silu,none,10,256,v5_champion,0.001,1083,700,163.5
model,0.7851305603981018,0.9610022306442261,1.1308311484754086,3.4421399235725403,6.939536433224212,0.9702404737472534,0.8586910963058472,0.5831286907196045,0.9769935011863708,0.37517231702804565,0.946555495262146,2.6030555367469788,1.6908159479498863,0.32309170346707106,1.7606893554329872,0.157131627202034,0.2502033952623606,100.0,100.0,100.0,1.0,7.629596865399435e-08,bi_glcm_morph_residual_silu_L12_d256_bn,4,v6,bi_glcm_morph,residual,silu,batchnorm,12,256,deep,0.001,1083,740,257.1
model,0.7473624348640442,0.9594437479972839,1.1544324457645416,3.544388711452484,7.473515919068976,0.9693751335144043,0.8555154800415039,0.5501066446304321,0.9765189290046692,0.19486397504806519,0.9377933740615845,2.6836857199668884,1.6832780092954636,0.31154570169746876,1.7817115411162376,0.16866709338501096,0.2977112075313926,100.0,100.0,100.0,1.0,7.714140082271115e-08,bi_glcm_morph_residual_silu_L16_d256_bn_lr0.0005,4,v6,bi_glcm_morph,residual,silu,batchnorm,16,256,deep,0.0005,1083,754,327.0
model,0.8023760914802551,0.9629477858543396,1.1238306760787964,3.331359103322029,7.953817355953145,0.9700915813446045,0.8689219355583191,0.6987841129302979,0.9786714315414429,0.349071741104126,0.9487160444259644,2.6014046743512154,1.6248838976025581,0.3073601284995675,1.6910888254642487,0.21037936676293612,0.30787133146077394,100.0,100.0,100.0,1.0,7.631894050064147e-08,bi_glcm_morph_residual_silu_L20_d256_bn_lr0.0005,4,v6,bi_glcm_morph,residual,silu,batchnorm,20,256,deep,0.0005,1083,710,377.0
model,0.7610637545585632,0.9631490707397461,1.1271911673247814,3.322151303291321,7.709609125371882,0.9718557596206665,0.8640929460525513,0.6356967091560364,0.9774951338768005,0.14690881967544556,0.9703332185745239,2.582618035376072,1.6927862539887428,0.3106744959950447,1.7468741163611412,0.1924715586937964,0.23772651329636574,100.0,100.0,100.0,1.0,7.646427491181385e-08,bi_glcm_morph_plain_silu_L5_d2048_bn_lr0.0005,4,v6,bi_glcm_morph,plain,silu,batchnorm,5,2048,wide,0.0005,1083,675,99.4
model,0.7411885857582092,0.9581406116485596,1.1718965135514736,3.545289859175682,7.789418776924487,0.9673207998275757,0.8556454181671143,0.6447633504867554,0.9734368324279785,0.0491480827331543,0.9568185210227966,2.735457196831703,1.644841581583023,0.2763892523944378,1.9242584705352783,0.18409010954201221,0.2663453109562397,100.0,100.0,100.0,1.0,7.630362830468584e-08,bi_glcm_morph_residual_silu_L10_d1024_bn_lr0.0005,4,v6,bi_glcm_morph,residual,silu,batchnorm,10,1024,deep+wide,0.0005,1083,704,240.7
model,0.6488979458808899,0.9576376676559448,1.1380678974092007,3.633410856127739,7.44941008464669,0.9687791466712952,0.8476867079734802,0.5361520051956177,0.9748048186302185,-0.3900871276855469,0.9560530185699463,2.5814127177000046,1.702755130827427,0.32921324018388987,1.7709601670503616,0.2016416285187006,0.2424225676804781,100.0,100.0,100.0,1.0,7.614264063704468e-08,bi_glcm_morph_residual_silu_L11_d1024_bn_lr0.0005,4,v6,bi_glcm_morph,residual,silu,batchnorm,11,1024,deep+wide,0.0005,1083,724,269.4
model,0.6872069835662842,0.9585362672805786,1.2038052082061768,3.593740239739418,7.900081920486656,0.9691606760025024,0.8548203706741333,0.6207680702209473,0.9747493267059326,-0.23975861072540283,0.9435039758682251,2.730664238333702,1.734669879078865,0.3125591902062297,1.8803974613547325,0.24241493083536625,0.3221298800781369,100.0,100.0,100.0,1.0,7.714140082271115e-08,bi_glcm_morph_residual_silu_L12_d1024_bn_lr0.0005,4,v6,bi_glcm_morph,residual,silu,batchnorm,12,1024,deep+wide,0.0005,1083,692,279.8
