fold,feature_set,config,n_features,r2,mae,time,n_estimators,max_depth,learning_rate,num_leaves,min_child_samples,reg_lambda,subsample,colsample_bytree,subsample_freq
1,VegIdx+RedEdge+TC+NDTI+CRI1,ss1.0,408,0.7131780022417907,4.051805186263529,28.93562889099121,500,6,0.05,31,20,0.1,1.0,0.85,0.0
1,VegIdx+RedEdge+TC+NDTI+CRI1,cs0.5,408,0.7231656086476227,4.0338024863044675,23.291470766067505,500,6,0.05,31,20,0.1,0.85,0.5,
1,VegIdx+RedEdge+TC+NDTI+CRI1,cs0.7,408,0.7137024322819338,4.027616214143481,25.47756814956665,500,6,0.05,31,20,0.1,0.85,0.7,
1,VegIdx+RedEdge+TC+NDTI+CRI1,cs1.0,408,0.7170198188605451,4.071293928889935,31.290837049484253,500,6,0.05,31,20,0.1,0.85,1.0,
1,VegIdx+RedEdge+TC+NDTI+CRI1,mcs5,408,0.7271828090114939,4.046433951428476,32.777467250823975,500,6,0.05,31,5,0.1,0.85,0.85,
1,VegIdx+RedEdge+TC+NDTI+CRI1,mcs50,408,0.716342819346183,4.078701713151476,24.38783860206604,500,6,0.05,31,50,0.1,0.85,0.85,
1,VegIdx+RedEdge+TC+NDTI+CRI1,mcs100,408,0.7341004056881286,4.153621335186926,22.696123361587524,500,6,0.05,31,100,0.1,0.85,0.85,
1,VegIdx+RedEdge+TC+NDTI+CRI1,strong_deep,408,0.723578554895366,4.062665335457209,229.95448303222656,1000,-1,0.03,127,10,1.0,0.8,0.8,1.0
1,VegIdx+RedEdge+TC+NDTI+CRI1,strong_conservative,408,0.7278667985321804,3.9838488323711148,68.91194438934326,1000,8,0.03,63,30,5.0,0.7,0.7,1.0
1,VegIdx+RedEdge+TC+NDTI+CRI1,strong_shallow,408,0.733998642036358,4.009954824409177,64.28076219558716,2000,4,0.02,15,20,0.5,0.85,0.85,1.0
