model,r2_uniform,r2_weighted,mae_mean_pp,rmse_mean_pp,aitchison_mean,r2_tree_cover,r2_grassland,r2_cropland,r2_built_up,r2_bare_sparse,r2_water,mae_tree_cover_pp,mae_grassland_pp,mae_cropland_pp,mae_built_up_pp,mae_bare_sparse_pp,mae_water_pp,pct_valid_sum,pct_valid_range,pct_fully_valid,mean_sum,std_sum,name,fold,stage,feature_set,arch,activation,norm_type,n_layers,d_model,arch_family,lr,n_features,epochs,elapsed_s
model,0.6452034115791321,0.9349707365036011,1.7747912555932999,4.701424017548561,7.584458661939399,0.9581174850463867,0.83786940574646,0.3049197196960449,0.9486144185066223,0.15187162160873413,0.6696630120277405,3.83821539580822,2.2921469062566757,0.64388164319098,3.342559188604355,0.31343640293926,0.2185283461585641,100.0,100.0,100.0,1.0,7.632627330167452e-08,best5_residual_silu_L12_d256_bn,2,v5_5_arch,best5,residual,silu,batchnorm,12,256,deep,0.001,633,602,255.0
model,0.6950711607933044,0.93890780210495,1.7069652676582336,4.478274285793304,7.4073899843753805,0.9578754901885986,0.8387898206710815,0.5238101482391357,0.9529873132705688,0.07939624786376953,0.8174338340759277,3.7874098867177963,2.270882949233055,0.5243762861937284,3.1669192016124725,0.31825462356209755,0.17396598123013973,100.0,100.0,100.0,1.0,7.367764709442781e-08,best5_residual_silu_L16_d256_bn_lr0.0005,2,v5_5_arch,best5,residual,silu,batchnorm,16,256,deep,0.0005,633,685,357.1
model,0.6331523060798645,0.9345011711120605,1.7781933769583702,4.7094594687223434,8.275525516562945,0.9580838680267334,0.8267503976821899,0.2512301802635193,0.950593113899231,0.05042320489883423,0.7616972327232361,3.835664317011833,2.335844002664089,0.6578924600034952,3.23520265519619,0.3579330863431096,0.24664555676281452,100.0,100.0,100.0,1.0,7.536002044616907e-08,best5_residual_silu_L20_d256_bn_lr0.0005,2,v5_5_arch,best5,residual,silu,batchnorm,20,256,deep,0.0005,633,611,377.5
model,0.6802130341529846,0.9398030042648315,1.6894182190299034,4.484829306602478,7.072948924653948,0.9607145190238953,0.8388686180114746,0.4850224256515503,0.9530185461044312,0.06473022699356079,0.7787898182868958,3.6741919815540314,2.3686837404966354,0.5100260954350233,3.1320419162511826,0.2964265877380967,0.15516571002081037,100.0,100.0,100.0,1.0,7.492882758697306e-08,best5_plain_silu_L5_d1024_bn,2,v5_5_arch,best5,plain,silu,batchnorm,5,1024,wide,0.001,633,607,93.2
model,0.7201667428016663,0.93751060962677,1.7477413639426231,4.4899579137563705,7.5174211195300655,0.9546800851821899,0.837827205657959,0.5209431648254395,0.952544629573822,0.22695797681808472,0.8279340267181396,3.9152204990386963,2.3207327350974083,0.5218770820647478,3.2523535192012787,0.3078412264585495,0.16843253979459405,100.0,100.0,100.0,1.0,7.497730791783397e-08,best5_plain_silu_L5_d2048_bn_lr0.0005,2,v5_5_arch,best5,plain,silu,batchnorm,5,2048,wide,0.0005,633,606,107.1
model,0.6396543383598328,0.9325323700904846,1.8051732331514359,4.731230810284615,7.477892715720917,0.9566106200218201,0.8247488737106323,0.1983240246772766,0.9478775262832642,0.0628461241722107,0.8473726511001587,3.8495052605867386,2.3104511201381683,0.7333365734666586,3.3626511693000793,0.3600976662710309,0.2150207757949829,100.0,100.0,100.0,1.0,7.488031883440271e-08,best5_residual_silu_L10_d1024_bn_lr0.0005,2,v5_5_arch,best5,residual,silu,batchnorm,10,1024,deep+wide,0.0005,633,664,255.2
model,0.6589153409004211,0.929524302482605,1.849265955388546,4.805558547377586,7.617106525889077,0.9535506367683411,0.8174152374267578,0.23323845863342285,0.9445003271102905,0.17814403772354126,0.8264948129653931,4.036855325102806,2.3574894294142723,0.6327491719275713,3.5454902797937393,0.3218182362616062,0.20120828412473202,100.0,100.0,100.0,1.0,7.55165743271391e-08,best5_residual_silu_L11_d1024_bn_lr0.0005,2,v5_5_arch,best5,residual,silu,batchnorm,11,1024,deep+wide,0.0005,633,626,251.0
model,0.6799092888832092,0.9350596070289612,1.803048513829708,4.612414538860321,8.088266074314667,0.9559475779533386,0.829691469669342,0.4245377779006958,0.9494798183441162,0.08756834268569946,0.8321218490600586,3.917480632662773,2.401590906083584,0.6605622358620167,3.2865289598703384,0.3574867732822895,0.19466046942397952,100.0,100.0,100.0,1.0,7.556067060932037e-08,best5_residual_silu_L12_d1024_bn_lr0.0005,2,v5_5_arch,best5,residual,silu,batchnorm,12,1024,deep+wide,0.0005,633,588,256.9
model,0.6984153389930725,0.9403630495071411,1.7443008720874786,4.4481296092271805,8.0908979686348,0.9590715765953064,0.8430512547492981,0.5560437440872192,0.9540268182754517,0.1279129981994629,0.7502794861793518,3.7731412798166275,2.397894859313965,0.5636395420879126,3.1498663127422333,0.3375796601176262,0.24370828177779913,100.0,100.0,100.0,1.0,7.527961543019046e-08,best5_v2_residual_silu_L12_d256_bn,2,v5_5_arch,best5_v2,residual,silu,batchnorm,12,256,deep,0.001,813,579,216.9
model,0.7065659165382385,0.9403347969055176,1.7124785110354424,4.439288377761841,7.679310949730108,0.9591535329818726,0.8492893576622009,0.5716432929039001,0.952030599117279,0.16686737537384033,0.7402992248535156,3.7585340440273285,2.294394373893738,0.5161098204553127,3.1829331070184708,0.3161069704219699,0.20680183079093695,100.0,100.0,100.0,1.0,7.449513361734716e-08,best5_v2_residual_silu_L16_d256_bn_lr0.0005,2,v5_5_arch,best5_v2,residual,silu,batchnorm,16,256,deep,0.0005,813,652,261.9
