version,model_type,config,feature_set,n_features,fold,r2_uniform,mae_mean_pp
LGBM,LightGBM,base,VegIdx+RedEdge+TC,348,1,0.7187407578983255,4.123226611983647
LGBM,LightGBM,n200,VegIdx+RedEdge+TC,348,1,0.7123407766697704,4.172741496699233
LGBM,LightGBM,n1000,VegIdx+RedEdge+TC,348,1,0.7183119274130676,4.127434530127786
LGBM,LightGBM,n2000,VegIdx+RedEdge+TC,348,1,0.7179969111783042,4.129543512202469
LGBM,LightGBM,depth4,VegIdx+RedEdge+TC,348,1,0.7150460427636863,4.196866318362376
LGBM,LightGBM,depth8,VegIdx+RedEdge+TC,348,1,0.7174366606788599,4.086066118253799
LGBM,LightGBM,depth12,VegIdx+RedEdge+TC,348,1,0.7114852843325378,4.102945589015012
LGBM,LightGBM,depth_none,VegIdx+RedEdge+TC,348,1,0.7136662271680048,4.103347837245385
LGBM,LightGBM,leaves15,VegIdx+RedEdge+TC,348,1,0.7177051217154434,4.116571174964203
LGBM,LightGBM,leaves63,VegIdx+RedEdge+TC,348,1,0.7173560476000332,4.118526415250188
LGBM,LightGBM,leaves127,VegIdx+RedEdge+TC,348,1,0.7173560476000332,4.118526415250188
LGBM,LightGBM,leaves255,VegIdx+RedEdge+TC,348,1,0.7173560476000332,4.118526415250188
LGBM,LightGBM,lr0.01,VegIdx+RedEdge+TC,348,1,0.7065911758910182,4.347597206170082
LGBM,LightGBM,lr0.1,VegIdx+RedEdge+TC,348,1,0.704476099416606,4.182330760359305
LGBM,LightGBM,lr0.2,VegIdx+RedEdge+TC,348,1,0.7025161559890871,4.322390446502956
LGBM,LightGBM,reg0.0,VegIdx+RedEdge+TC,348,1,0.7159823020644049,4.143456131109447
LGBM,LightGBM,reg1.0,VegIdx+RedEdge+TC,348,1,0.7195476824867035,4.100848972797715
LGBM,LightGBM,reg5.0,VegIdx+RedEdge+TC,348,1,0.724115136389262,4.113086324291306
LGBM,LightGBM,reg10.0,VegIdx+RedEdge+TC,348,1,0.7280107824254395,4.059111070556738
LGBM,LightGBM,ss0.6,VegIdx+RedEdge+TC,348,1,0.7132137875646313,4.117007354531891
LGBM,LightGBM,ss0.7,VegIdx+RedEdge+TC,348,1,0.7288110872916399,4.09149627802372
LGBM,LightGBM,ss1.0,VegIdx+RedEdge+TC,348,1,0.7187407578983255,4.123226611983647
LGBM,LightGBM,cs0.5,VegIdx+RedEdge+TC,348,1,0.7241315275736137,4.085198565485074
LGBM,LightGBM,cs0.7,VegIdx+RedEdge+TC,348,1,0.7277937334900577,4.11174106420016
LGBM,LightGBM,cs1.0,VegIdx+RedEdge+TC,348,1,0.7146887718518286,4.130433254764043
LGBM,LightGBM,mcs5,VegIdx+RedEdge+TC,348,1,0.7166616696940338,4.143596375231757
LGBM,LightGBM,mcs50,VegIdx+RedEdge+TC,348,1,0.7168143812399365,4.128331143450562
LGBM,LightGBM,mcs100,VegIdx+RedEdge+TC,348,1,0.7337036306933244,4.198163274850333
LGBM,LightGBM,strong_deep,VegIdx+RedEdge+TC,348,1,0.7080682974942426,4.150365419896742
LGBM,LightGBM,strong_conservative,VegIdx+RedEdge+TC,348,1,0.7173757056514648,4.060925251854329
LGBM,LightGBM,strong_shallow,VegIdx+RedEdge+TC,348,1,0.7300575614748656,4.09309220961394
LGBM,LightGBM,strong_wide,VegIdx+RedEdge+TC,348,1,0.7316854285356654,4.031779965650893
LGBM,LightGBM,base,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,438,2,0.7187206643913661,1.91159311931266
LGBM,LightGBM,n200,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,438,2,0.710950296729981,1.926488755196666
LGBM,LightGBM,n1000,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,438,2,0.7213764149961115,1.9093889801675727
LGBM,LightGBM,n2000,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,438,2,0.7232611685608915,1.9122472647214943
LGBM,LightGBM,depth4,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,438,2,0.6970072625259057,1.9998651295989245
LGBM,LightGBM,depth8,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,438,2,0.710463182825921,1.904615104377099
LGBM,LightGBM,depth12,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,438,2,0.7158312281989723,1.8949990546503064
LGBM,LightGBM,depth_none,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,438,2,0.7164038009948405,1.9051768355564844
LGBM,LightGBM,leaves15,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,438,2,0.7102261866048729,1.9603727662993609
