name,r2_mean,r2_std,mae_mean,mae_std,ait_mean,ait_std,n_folds,epochs_mean,elapsed_mean,n_features,n_params,feature_set,arch,activation,norm_type
bands_indices_plain_silu_L3_d256,0.41502055525779724,,7.0643797516822815,,10.908236927118049,,1,2.0,0.2,798.0,339206.0,bands_indices,plain,silu,layernorm
full_no_deltas_residual_mish_L10_d256,0.4148890972137451,,7.1722231805324554,,10.129873191853212,,1,2.0,0.5,1428.0,3002118.0,full_no_deltas,residual,mish,layernorm
full_no_deltas_residual_gelu_L10_d256,0.41482362151145935,,6.724174320697784,,9.909388168828176,,1,2.0,0.5,1428.0,3002118.0,full_no_deltas,residual,gelu,layernorm
bands_indices_glcm_lbp_residual_relu_L6_d128,0.414817214012146,,5.867656692862511,,10.370708772647882,,1,2.0,0.3,924.0,516486.0,bands_indices_glcm_lbp,residual,relu,layernorm
bands_indices_texture_residual_mish_L6_d128,0.4144001007080078,,6.025494635105133,,10.905739025414876,,1,2.0,0.4,1368.0,573318.0,bands_indices_texture,residual,mish,layernorm
bands_indices_hog_residual_relu_L4_d256_nonorm,0.4142289161682129,,5.3024303168058395,,9.276043096916885,,1,2.0,0.2,1002.0,1309958.0,bands_indices_hog,residual,relu,none
bands_indices_residual_gelu_L8_d256_do0.25,0.41382208466529846,,6.259133666753769,,9.677287618667378,,1,2.0,0.4,798.0,2313990.0,bands_indices,residual,gelu,layernorm
bands_indices_texture_residual_relu_L6_d256_nonorm,0.413370281457901,,6.850370764732361,,9.870818335088748,,1,2.0,0.3,1368.0,1929478.0,bands_indices_texture,residual,relu,none
bands_indices_texture_residual_gelu_L8_d256_do0.25,0.4129898250102997,,5.786353349685669,,9.45773584688758,,1,2.0,0.4,1368.0,2459910.0,bands_indices_texture,residual,gelu,layernorm
full_no_deltas_residual_gelu_L8_d256_do0.25,0.41261938214302063,,5.910313501954079,,9.590548135055073,,1,2.0,0.4,1428.0,2475270.0,full_no_deltas,residual,gelu,layernorm
full_no_deltas_residual_gelu_L6_d512_nonorm_lr0.0005,0.41235795617103577,,5.159385874867439,,9.998634712355873,,1,2.0,0.3,1428.0,7035398.0,full_no_deltas,residual,gelu,none
full_no_deltas_residual_silu_L6_d256_nonorm,0.4123031795024872,,5.724779888987541,,10.065341961774628,,1,2.0,0.3,1428.0,1944838.0,full_no_deltas,residual,silu,none
full_no_deltas_residual_gelu_L6_d256_exp4,0.4122107923030853,,6.514032930135727,,9.711503518964753,,1,2.0,0.4,1428.0,3524358.0,full_no_deltas,residual,gelu,layernorm
full_no_deltas_residual_mish_L6_d128,0.4118475615978241,,6.013462319970131,,10.799074556120186,,1,2.0,0.3,1428.0,580998.0,full_no_deltas,residual,mish,layernorm
bands_indices_plain_silu_L5_d256,0.4113665521144867,,5.659351870417595,,9.845463762333896,,1,2.0,0.2,798.0,471814.0,bands_indices,plain,silu,layernorm
bands_indices_hog_residual_gelu_L10_d256,0.4110116958618164,,6.382299214601517,,9.9479731636773,,1,2.0,0.5,1002.0,2893062.0,bands_indices_hog,residual,gelu,layernorm
bands_indices_residual_mish_L8_d256_nonorm,0.41087818145751953,,6.100578606128693,,10.192123059501775,,1,2.0,0.4,798.0,2309382.0,bands_indices,residual,mish,none
bands_indices_residual_gelu_L12_d128_nonorm,0.41066718101501465,,5.694365128874779,,10.652616152372483,,1,2.0,0.5,798.0,894086.0,bands_indices,residual,gelu,none
all_full_plain_gelu_L3_d512_nonorm,0.41043004393577576,,5.231652036309242,,8.988078780044672,,1,2.0,0.2,3534.0,2338310.0,all_full,plain,gelu,none
bands_indices_residual_silu_L6_d256_nonorm,0.4103974401950836,,5.556708946824074,,10.634221903313618,,1,2.0,0.3,798.0,1783558.0,bands_indices,residual,silu,none
full_no_deltas_residual_gelu_L10_d256_lr0.0005,0.4096544086933136,,5.69649338722229,,9.355214705960716,,1,2.0,0.5,1428.0,3002118.0,full_no_deltas,residual,gelu,layernorm
